Role,Cluster,Type,Skills
accountant /auditor,accountant /auditor_1,role,"'contract management', 'procurement'"
accountant /auditor,accountant /auditor_2,role,"'finance', 'financial reporting', 'general ledger accounting'"
accountant cum secretary,accountant cum secretary_1,role,"'accounting software', 'general ledger accounting', 'myob accounting software'"
accountant cum secretary,accountant cum secretary_2,role,"'accounts payable', 'accounts receivable', 'account balancing', 'balance sheet preparation', 'trial balance'"
accountant cum secretary,accountant cum secretary_-1,role,"'accruals', 'administrative skills', 'bookkeeping', 'closing procedures', 'computer peripherals', 'data entry', ""driver's license"", 'email communication', 'fund management', 'hindi language', 'insurance', 'web applications', 'invoicing', 'foreign languages', 'business correspondence', 'management information systems (mis)', 'negotiation', 'policy development', 'microsoft powerpoint', 'purchasing', 'quickbooks', 'sales analysis', 'secretarial support', 'audio engineering', 'supervision', 'typing speed', 'microsoft word'"
accountant cum secretary,accountant cum secretary_0,role,"'credit analysis', 'finance'"
"accountant, network assistant team","accountant, network assistant team_-1",role,"'accounts payable', 'financial systems analysis', 'critical thinking', 'financial reporting', 'program management'"
accountant/financial analyst,accountant/financial analyst_-1,role,"'online advertising', 'balance sheet preparation', 'benefits administration', 'business intelligence (bi)', 'bookkeeping', 'community health', 'contract management', 'certified public accountant (cpa)', 'credit analysis', 'finance', 'financial statement preparation', 'fund management', 'general ledger accounting', 'hospice care', 'hyperion systems', 'insurance', 'software proficiency', 'payroll processing', 'procurement', 'proposal writing', 'quickbooks', 'report generation', 'revenue recognition', 'sage accounting software', 'tax preparation', 'tax law', 'trial balance'"
accountants payable/receivable & purchasing administrator,accountants payable/receivable & purchasing administrator_-1,role,"'accounts payable/receivable', 'analytical skills', 'lotus software', 'medline database', 'payroll mate software', 'sage peachtree', 'quickbooks', 'sage accounting software'"
accounting and finance supervisor,accounting and finance supervisor_0,role,"'accounts payable/receivable', 'full accounting cycle', 'general ledger accounting'"
accounting and finance supervisor,accounting and finance supervisor_1,role,"'cdi', 'microsoft powerpoint', 'microsoft word', 'pclaw', 'sage peachtree', 'pico framework', 'pr software'"
accounting assistant,accounting assistant_-1,role,"'mathematics', 'calbench', 'microsoft powerpoint', 'microsoft access', 'quickbooks', 'sage accounting software', 'intuit proseries', 'team building'"
accounting clerk,accounting clerk_1,role,"'telephone skills', 'form design', 'instructional design', 'analytical skills', 'packaging design', 'clerical skills'"
accounting clerk,accounting clerk_0,role,"'microsoft word', 'annual reports', 'cost accounting', 'receiving', 'profitability analysis', 'report generation', 'fund accounting', 'copier operation', 'finance', 'newsletter creation', 'microsoft powerpoint', 'general ledger accounting', 'year-end processing', 'agency management', 'cash handling', 'microsoft publisher', 'financial reporting', 'time management', 'record keeping', 'credit analysis', 'innovation management', 'pricing strategy', 'quickbooks', 'billing', 'government regulations', 'business intelligence (bi)', 'fiscal management', 'microsoft access', 'accounts receivable', 'contract management', 'account balancing', 'policy development', 'business process improvement', 'document scanning', 'purchasing', 'fax machine operation'"
accounting clerk,accounting clerk_-1,role,"'mentoring', 'grant writing', 'public speaking', 'merchandising', 'fds software', 'reconciliation', 'closing procedures', 'mac os', 'proposal writing', 'data access', 'novell groupwise', 'functional testing', 'technical support'"
accounting clerk,accounting clerk_2,role,"'computer programming', 'system monitoring', 'mainframe systems'"
accounting instructor,accounting instructor_0,role,"'accounts payable', 'accounts receivable', 'billing', 'cash handling', 'contract management', 'credit analysis', 'finance', 'general ledger accounting', 'policy development', 'pricing strategy', 'purchasing', 'receiving'"
accounting instructor,accounting instructor_-1,role,"'closing procedures', 'grant writing', 'novell groupwise', 'mentoring', 'merchandising', 'public speaking', 'reconciliation', 'time management'"
accounting instructor,accounting instructor_1,role,"'form design', 'instructional design', 'packaging design'"
accounting manager,accounting manager_3,role,"'accounting software', 'general ledger accounting', 'public accounting', 'cash handling'"
accounting manager,accounting manager_-1,role,"'software training', 'microsoft powerpoint', 'procedure writing', 'team building', 'balance sheet preparation', 'closing procedures', 'credit analysis', 'quickbooks', 'clerical skills', 'business process improvement', 'accounts receivable', 'life insurance', 'tax preparation', 'geometry', 'bookkeeping', 'multitasking', 'direct sales', 'software as a service (saas)', 'supervision', 'merchandising', 'government contracts', 'conflict management', 'report generation', 'shipping and receiving', 'certified public accountant (cpa)', 'arabic language', 'administrative management', 'computer networking', 'operating systems', 'business processes', 'swedish language', 'sales reporting', 'profit and loss (p&l) analysis', 'general ledger', 'annuities', 'public relations (pr)', 'profitability analysis', 'data warehousing', 'usda regulations', 'telephone skills', 'reconciliation', 'food safety', 'system monitoring', 'receptionist duties', 'crime scene investigation (csi)', 'adjustments', 'quick learner'"
accounting manager,accounting manager_4,role,"'finance', 'financial controller', 'contract management', 'staffing', 'equity trading', 'financial statement preparation', 'investment management'"
accounting manager,accounting manager_1,role,"'year-end processing', 'automated payroll processing', 'payroll processing', 'order processing'"
accounting manager,accounting manager_0,role,"'data access', 'microsoft access', 'microsoft word'"
accounting manager,accounting manager_2,role,"'billing', 'accounts payable'"
accounting software consultant,accounting software consultant_0,role,"'accounts payable', 'billing'"
accounting software consultant,accounting software consultant_-1,role,"'accounts receivable', 'adjustments', 'administrative management', 'annuities', 'balance sheet preparation', 'cash handling', 'clerical skills', 'closing procedures', 'certified public accountant (cpa)', 'credit analysis', 'crime scene investigation (csi)', 'direct sales', 'food safety', 'government contracts', 'life insurance', 'merchandising', 'sales reporting', 'computer networking', 'procedure writing', 'public relations (pr)', 'receptionist duties', 'reconciliation', 'shipping and receiving', 'software training', 'team building', 'telephone skills'"
accounting software consultant,accounting software consultant_3,role,"'automated payroll processing', 'order processing', 'payroll processing'"
accounting software consultant,accounting software consultant_1,role,"'bookkeeping', 'general ledger accounting'"
accounting software consultant,accounting software consultant_2,role,"'contract management', 'staffing'"
accounting tutor,accounting tutor_-1,role,"'balance sheet preparation', 'derivatives trading', 'equity trading', 'finance', 'fund management', 'government regulations', 'investment management', 'general ledger', 'mergers and acquisitions (m&a)', 'natural language processing', 'web page design', 'accounts payable', 'business process improvement', 'computer programming', 'real estate', 'scheme programming', 'telephone skills'"
accounts receivable & collection manager,accounts receivable & collection manager_-1,role,"'accounts payable/receivable', 'analytical skills', 'lotus software', 'medline database', 'payroll mate software', 'sage peachtree', 'quickbooks', 'sage accounting software'"
accounts receivable administrator,accounts receivable administrator_-1,role,"'netscape messenger', 'munis', 'kronos workforce management', 'closing procedures', 'software as a service (saas)', 'sage mas 90', 'job costing', 'insurance', 'anytime scheduler', 'jd edwards enterpriseone'"
accounts receivable administrator,accounts receivable administrator_1,role,"'accounts payable', 'fixed asset accounting', 'acquisitions', 'credit analysis', 'financial controller', 'accounts receivable', 'contract management', 'accruals', 'frx financial reporting', 'billing', 'general ledger accounting'"
accounts receivable administrator,accounts receivable administrator_0,role,"'microsoft word', 'lotus notes', 'quickbooks'"
accounts receivable clerk,accounts receivable clerk_0,role,"'accounts payable', 'accounts receivable', 'credit analysis'"
accounts receivable clerk,accounts receivable clerk_-1,role,"'data access', 'closing procedures', 'trial balance', 'driving'"
accounts receivable clerk,accounts receivable clerk_1,role,"'telephone skills', 'sales reporting', 'microsoft word', 'policy development', 'data entry', 'email communication', 'workflow management', 'quickbooks', 'administrative skills', 'microsoft powerpoint', 'insurance', 'general ledger', 'computer applications', 'delivery management'"
adjunct professor,adjunct professor_-1,role,"'leadership development', 'people development', 'process analysis', 'product management', 'program management', 'solution design'"
administrative & finance coordinator,administrative & finance coordinator_0,role,"'administrative skills', 'agency management', 'data backup', 'bookkeeping', 'business administration', 'contract management', 'finance', 'general ledger accounting', 'international business', 'procurement', 'purchasing', 'receiving', 'record keeping', 'transportation logistics'"
